AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
52,良,0.7,州农科所,16,52,71,53,23,5,阿坝州,颗粒物(PM10)
73,良,0.7,马师校,29,39,97,96,25,11,阿坝州,颗粒物(PM10)
83,良,0.9,盟环保楼,31,68,91,116,56,17,阿拉善盟,颗粒物(PM10)
154,中度污染,1.8,电视台,59,_,61,258,74,20,阿克苏地区,颗粒物(PM10)
140,轻度污染,1.3,艺术中心,62,58,62,230,67,16,阿克苏地区,颗粒物(PM10)
20,优,_,阿里监测站,13,61,66,8,1,19,阿里地区,_
62,良,0.9,香溪洞,30,91,85,74,37,_,安康,颗粒物(PM10)
147,轻度污染,4.8,安康市监测站,114,11,59,233,112,44,安康,细颗粒物(PM2.5)
130,轻度污染,1.4,汉滨区检察院,85,9,58,210,84,23,安康,颗粒物(PM10)
291,重度污染,1.9,环科院,101,28,29,297,241,25,安庆,细颗粒物(PM2.5)
42,优,0.5,小东沟,57,7,38,42,19,56,阿勒泰地区,_
320,严重污染,1.9,马山宾馆,78,30,32,_,270,27,安庆,细颗粒物(PM2.5)
29,优,0.5,市站,57,14,20,14,9,12,阿勒泰地区,_
48,优,0.9,深沟寺,30,51,68,46,33,21,鞍山,_
39,优,0.7,明达新区,32,46,56,39,25,21,鞍山,_
28,优,0.9,千山,33,40,58,28,18,14,鞍山,_
43,优,0.7,太阳城,43,39,58,43,24,29,鞍山,_
82,良,1.5,太平,41,37,62,65,60,44,鞍山,细颗粒物(PM2.5)
41,优,0.8,铁西三道街,26,42,40,41,22,19,鞍山,_
46,优,1.5,伍家关(对照点),39,2,8,35,32,25,安顺,_
55,良,1.5,凤凰山,37,3,7,41,39,49,安顺,细颗粒物(PM2.5)
67,良,1.3,铁西工业园区,63,28,53,84,41,43,鞍山,颗粒物(PM10)
49,优,1.2,金钟山,42,4,10,41,34,38,安顺,_
54,良,1.3,娄家坡,41,3,6,41,38,40,安顺,细颗粒物(PM2.5)
368,严重污染,3.0,棉研所,81,13,65,363,318,17,安阳,细颗粒物(PM2.5)
57,良,0.4,洮北区环保局,23,65,71,47,40,12,白城,细颗粒物(PM2.5)
38,优,0.3,市环保局,6,63,70,38,11,17,白城,_
355,严重污染,2.5,红庙街,125,8,57,393,305,42,安阳,细颗粒物(PM2.5)
356,严重污染,1.3,银杏小区,108,13,64,372,306,32,安阳,细颗粒物(PM2.5)
342,严重污染,3.8,铁佛寺,113,7,56,400,292,44,安阳,细颗粒物(PM2.5)
349,严重污染,2.8,信访局,92,21,70,394,299,23,安阳,细颗粒物(PM2.5)
147,轻度污染,1.6,市监测站,34,53,51,123,112,33,百色,细颗粒物(PM2.5)
98,良,1.6,市中心血站,25,62,60,115,73,47,百色,细颗粒物(PM2.5)
42,优,0.8,喜丰,36,44,69,38,29,27,白山,_
28,优,0.6,环保局,13,64,77,19,19,14,白山,_
79,良,1.7,豫源饭店,39,59,66,107,53,216,白银,颗粒物(PM10)
84,良,1.4,动力公司,37,47,67,117,44,148,白银,颗粒物(PM10)
70,良,0.9,游泳馆,51,28,28,85,51,9,保定,细颗粒物(PM2.5)
