AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
35,优,0.6,州农科所,18,18,28,35,19,8,阿坝州,_
35,优,0.9,州监测站,17,36,45,24,24,9,阿坝州,_
20,优,0.7,马师校,23,31,44,18,14,9,阿坝州,_
136,轻度污染,1.7,电视台,43,17,22,221,84,11,阿克苏地区,颗粒物(PM10)
134,轻度污染,2.2,艺术中心,31,20,18,217,68,8,阿克苏地区,颗粒物(PM10)
62,良,0.7,阿里监测站,40,34,45,73,33,72,阿里地区,颗粒物(PM10)
55,良,0.7,体育场,14,80,79,59,38,12,阿拉善盟,颗粒物(PM10)
73,良,0.7,盟环保楼,11,81,81,67,53,10,阿拉善盟,细颗粒物(PM2.5)
52,良,0.7,环保局新楼,7,81,80,54,35,10,阿拉善盟,颗粒物(PM10)
32,优,0.5,小东沟,14,35,44,_,22,30,阿勒泰地区,_
26,优,1.3,市站,32,60,66,_,18,5,阿勒泰地区,_
52,良,0.7,香溪洞,16,35,33,_,36,13,安康,细颗粒物(PM2.5)
75,良,1.2,安康市监测站,29,20,21,62,55,32,安康,细颗粒物(PM2.5)
52,良,0.8,汉滨区检察院,24,24,18,42,36,20,安康,细颗粒物(PM2.5)
46,优,1.0,深沟寺,35,43,49,46,29,41,鞍山,_
51,良,1.4,明达新区,45,36,42,51,34,36,鞍山,颗粒物(PM10)
29,优,0.9,千山,19,32,24,23,20,25,鞍山,_
55,良,1.7,太阳城,72,25,41,59,32,88,鞍山,颗粒物(PM10)
65,良,1.5,太平,52,25,40,71,47,49,鞍山,细颗粒物(PM2.5)
100,良,2.4,铁西三道街,68,8,7,143,75,45,鞍山,细颗粒物(PM2.5)
84,良,1.0,环科院,34,59,60,_,62,17,安庆,细颗粒物(PM2.5)
48,优,1.2,伍家关(对照点),20,3,3,48,32,27,安顺,_
179,中度污染,2.3,棉研所,27,24,24,_,135,7,安阳,细颗粒物(PM2.5)
201,重度污染,2.4,铁西工业园区,82,12,7,314,151,59,鞍山,细颗粒物(PM2.5)
89,良,1.2,马山宾馆,32,68,72,_,66,8,安庆,细颗粒物(PM2.5)
89,良,1.1,联富花园,36,71,68,_,66,6,安庆,细颗粒物(PM2.5)
52,良,1.3,凤凰山,23,4,3,51,36,45,安顺,细颗粒物(PM2.5)
49,优,1.1,金钟山,21,5,5,48,34,43,安顺,_
56,良,1.3,娄家坡,23,3,4,61,39,52,安顺,颗粒物(PM10)
155,中度污染,1.2,红庙街,36,33,26,118,118,95,安阳,细颗粒物(PM2.5)
173,中度污染,1.9,银杏小区,34,36,30,133,131,89,安阳,细颗粒物(PM2.5)
142,轻度污染,2.1,铁佛寺,27,42,27,_,108,152,安阳,细颗粒物(PM2.5)
193,中度污染,2.7,信访局,37,17,12,147,145,41,安阳,细颗粒物(PM2.5)
92,良,0.7,洮北区环保局,34,54,53,_,68,20,白城,细颗粒物(PM2.5)
79,良,1.0,安庆大学,18,98,96,_,58,5,安庆,细颗粒物(PM2.5)
63,良,1.9,市监测站,41,5,4,46,45,20,百色,细颗粒物(PM2.5)
62,良,2.0,市中心血站,27,3,2,_,44,14,百色,细颗粒物(PM2.5)
135,轻度污染,2.0,喜丰,52,20,12,146,103,126,白山,细颗粒物(PM2.5)
114,轻度污染,2.0,环保局,45,23,16,122,86,95,白山,细颗粒物(PM2.5)
71,良,0.7,豫源饭店,10,69,67,91,42,5,白银,颗粒物(PM10)
76,良,0.5,动力公司,10,63,63,101,32,9,白银,颗粒物(PM10)
83,良,1.1,庙沟村,19,59,60,77,61,7,宝鸡,细颗粒物(PM2.5)
113,轻度污染,1.0,竹园沟,27,51,54,_,85,10,宝鸡,细颗粒物(PM2.5)
98,良,1.0,三陆医院,32,60,53,80,73,14,宝鸡,细颗粒物(PM2.5)
94,良,1.4,监测站,43,44,55,83,70,12,宝鸡,细颗粒物(PM2.5)
93,良,1.0,技工学校,27,71,66,77,69,13,宝鸡,细颗粒物(PM2.5)
297,重度污染,4.4,游泳馆,94,9,8,296,247,43,保定,细颗粒物(PM2.5)
228,重度污染,3.2,华电二区,85,5,8,246,178,50,保定,细颗粒物(PM2.5)
250,重度污染,3.9,接待中心,73,17,17,248,200,59,保定,细颗粒物(PM2.5)
