AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
26,优,0.3,州农科所,3,83,73,23,3,7,阿坝州,_
26,优,1.7,州监测站,22,82,78,13,10,22,阿坝州,_
32,优,0.4,马师校,10,102,92,18,4,5,阿坝州,_
54,良,0.5,体育场,12,93,94,58,20,12,阿拉善盟,颗粒物(PM10)
60,良,0.7,盟环保楼,18,84,91,56,43,10,阿拉善盟,细颗粒物(PM2.5)
66,良,0.4,环保局新楼,10,79,85,82,22,8,阿拉善盟,颗粒物(PM10)
61,良,0.5,阿里监测站,4,80,63,72,19,4,阿里地区,颗粒物(PM10)
128,轻度污染,0.8,电视台,33,68,44,205,49,13,阿克苏地区,颗粒物(PM10)
123,轻度污染,0.8,艺术中心,26,70,42,195,48,10,阿克苏地区,颗粒物(PM10)
57,良,0.6,环科院,44,72,84,63,34,12,安庆,颗粒物(PM10)
54,良,0.5,马山宾馆,17,91,91,58,35,7,安庆,颗粒物(PM10)
55,良,0.4,联富花园,33,101,108,60,35,11,安庆,颗粒物(PM10)
65,良,0.5,安庆大学,41,95,108,70,47,11,安庆,细颗粒物(PM2.5)
58,良,0.5,香溪洞,17,_,68,66,34,12,安康,颗粒物(PM10)
73,良,1.7,安康市监测站,68,31,46,80,53,18,安康,细颗粒物(PM2.5)
57,良,1.0,汉滨区检察院,54,46,51,63,37,14,安康,颗粒物(PM10)
41,优,0.7,小东沟,41,29,46,41,5,34,阿勒泰地区,_
54,良,1.3,深沟寺,30,47,55,56,38,36,鞍山,细颗粒物(PM2.5)
48,优,1.2,明达新区,58,29,49,48,26,28,鞍山,_
38,优,1.6,千山,41,40,49,38,24,25,鞍山,_
88,良,0.9,伍家关(对照点),29,58,62,87,65,31,安顺,细颗粒物(PM2.5)
107,轻度污染,1.0,凤凰山,33,57,62,93,80,49,安顺,细颗粒物(PM2.5)
24,优,0.7,市站,40,73,74,24,2,13,阿勒泰地区,_
48,优,1.5,太阳城,62,30,52,48,25,11,鞍山,_
59,良,1.6,太平,33,45,58,62,42,19,鞍山,细颗粒物(PM2.5)
97,良,0.8,金钟山,25,64,67,98,72,43,安顺,细颗粒物(PM2.5)
92,良,0.9,娄家坡,27,61,62,90,68,39,安顺,细颗粒物(PM2.5)
39,优,0.6,棉研所,26,79,83,39,13,21,安阳,_
57,良,1.7,铁西三道街,46,20,38,64,36,32,鞍山,颗粒物(PM10)
55,良,0.3,红庙街,30,65,68,59,18,23,安阳,颗粒物(PM10)
43,优,0.5,银杏小区,27,79,87,43,17,24,安阳,_
52,良,1.1,铁佛寺,36,53,63,53,20,34,安阳,颗粒物(PM10)
49,优,1.1,信访局,25,69,74,49,15,20,安阳,_
62,良,0.6,洮北区环保局,34,54,66,73,37,12,白城,颗粒物(PM10)
38,优,1.3,市环保局,16,44,58,38,18,11,白城,_
62,良,0.9,铁西工业园区,48,32,64,74,43,30,鞍山,颗粒物(PM10)
45,优,1.2,市监测站,20,63,58,40,31,_,百色,_
51,良,1.5,市中心血站,12,41,42,52,27,8,百色,颗粒物(PM10)
60,良,1.1,喜丰,21,61,63,70,28,23,白山,颗粒物(PM10)
33,优,0.6,环保局,10,65,63,_,23,12,白山,_
38,优,0.9,游泳馆,22,72,84,38,16,2,保定,_
53,良,0.7,豫源饭店,17,81,62,55,26,4,白银,颗粒物(PM10)
53,良,0.6,动力公司,9,74,63,56,30,15,白银,颗粒物(PM10)
51,良,0.2,华电二区,30,72,78,52,22,9,保定,颗粒物(PM10)
56,良,0.2,接待中心,8,82,89,62,22,4,保定,颗粒物(PM10)
89,良,0.9,庙沟村,41,79,85,118,66,14,宝鸡,细颗粒物(PM2.5)
107,轻度污染,0.8,竹园沟,37,57,76,90,80,12,宝鸡,细颗粒物(PM2.5)
108,轻度污染,1.2,三陆医院,62,63,60,123,81,27,宝鸡,细颗粒物(PM2.5)
99,良,1.2,监测站,90,44,61,125,74,25,宝鸡,细颗粒物(PM2.5)
59,良,0.3,地表水厂,9,67,70,68,17,1,保定,颗粒物(PM10)
51,良,0.4,胶片厂,8,84,95,51,17,2,保定,颗粒物(PM10)
52,良,0.4,监测站,23,58,70,54,18,6,保定,颗粒物(PM10)
105,轻度污染,1.3,技工学校,88,45,98,124,79,35,宝鸡,细颗粒物(PM2.5)
98,良,1.5,陈仓环保局,84,40,67,131,73,27,宝鸡,细颗粒物(PM2.5)
102,轻度污染,1.3,文理学院,67,68,67,138,76,28,宝鸡,细颗粒物(PM2.5)
104,轻度污染,1.3,三迪小学,75,71,66,158,72,28,宝鸡,颗粒物(PM10)
30,优,0.6,市环保局,7,93,79,17,9,10,保山,_
72,良,0.6,市环境监测站,19,63,69,93,8,10,包头,颗粒物(PM10)
28,优,0.5,市环境监测站,6,89,81,17,4,8,保山,_
54,良,0.5,包百大楼,21,76,80,57,8,8,包头,颗粒物(PM10)
64,良,1.4,东河城环局,15,66,69,78,17,7,包头,颗粒物(PM10)
65,良,0.7,青山宾馆,18,71,77,79,12,14,包头,颗粒物(PM10)
52,良,1.0,惠龙物流,23,69,74,54,10,10,包头,颗粒物(PM10)
36,优,0.6,秋林养殖基地,18,76,81,36,14,8,巴彦淖尔,_
30,优,0.4,附中,22,68,76,30,4,12,巴彦淖尔,_
40,优,0.3,市环保大楼,10,80,82,40,9,5,巴彦淖尔,_
57,良,0.8,东河鸿龙湾,13,67,63,63,9,7,包头,颗粒物(PM10)
64,良,0.6,市环保局,40,69,61,73,46,3,巴中,细颗粒物(PM2.5)
72,良,0.5,巴中中学,47,60,57,83,52,4,巴中,细颗粒物(PM2.5)
59,良,0.5,苏山坪,20,87,72,68,39,7,巴中,颗粒物(PM10)
51,良,0.6,职业中学,35,70,58,51,30,8,巴中,颗粒物(PM10)
77,良,1.5,牛尾岭水库,17,52,55,56,56,8,北海,细颗粒物(PM2.5)
72,良,1.5,海滩公园,22,62,68,70,52,10,北海,细颗粒物(PM2.5)
60,良,1.7,新市环保局,15,73,74,50,43,9,北海,细颗粒物(PM2.5)
83,良,1.3,北海工业园,29,49,56,72,61,10,北海,细颗粒物(PM2.5)
39,优,0.2,万寿西宫,8,64,70,39,3,2,北京,_
24,优,0.1,定陵,4,74,76,6,3,2,北京,_
26,优,0.4,东四,11,57,62,26,6,2,北京,_
46,优,0.3,天坛,14,61,68,46,3,2,北京,_
49,优,0.6,工人疗养院,32,96,93,34,34,18,蚌埠,_
53,良,0.7,百货大楼,60,50,60,55,36,32,蚌埠,颗粒物(PM10)
58,良,0.6,二水厂,30,62,73,65,37,40,蚌埠,颗粒物(PM10)
51,良,0.2,农展馆,13,56,63,52,5,3,北京,颗粒物(PM10)
40,优,0.5,蚌埠学院,32,100,94,40,15,9,蚌埠,_
53,良,0.5,淮上区政府,30,81,78,55,21,18,蚌埠,颗粒物(PM10)
45,优,0.6,高新区,37,92,87,45,19,8,蚌埠,_
