AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
28,优,0.2,州农科所,1,87,62,5,3,7,阿坝州,_
32,优,0.7,州监测站,3,101,67,11,7,9,阿坝州,_
35,优,0.3,马师校,3,111,77,16,2,4,阿坝州,_
59,良,0.4,体育场,9,95,90,68,21,9,阿拉善盟,颗粒物(PM10)
72,良,0.6,盟环保楼,8,92,90,94,41,8,阿拉善盟,颗粒物(PM10)
60,良,0.4,环保局新楼,7,82,86,69,26,8,阿拉善盟,颗粒物(PM10)
161,中度污染,1.0,电视台,35,64,30,272,93,15,阿克苏地区,颗粒物(PM10)
139,轻度污染,1.2,艺术中心,35,59,30,227,73,15,阿克苏地区,颗粒物(PM10)
55,良,0.7,小东沟,44,34,53,60,36,69,阿勒泰地区,颗粒物(PM10)
24,优,0.7,市站,30,73,71,24,13,17,阿勒泰地区,_
49,优,0.4,香溪洞,9,97,58,49,21,7,安康,_
55,良,1.0,安康市监测站,28,66,38,59,34,15,安康,颗粒物(PM10)
60,良,0.7,汉滨区检察院,28,74,39,69,33,14,安康,颗粒物(PM10)
27,优,0.4,阿里监测站,3,81,58,27,14,2,阿里地区,_
47,优,2.0,深沟寺,48,40,49,47,32,54,鞍山,_
74,良,0.9,伍家关(对照点),24,62,61,74,54,21,安顺,细颗粒物(PM2.5)
85,良,1.0,凤凰山,25,65,62,73,63,35,安顺,细颗粒物(PM2.5)
48,优,0.6,环科院,20,94,76,48,22,11,安庆,_
41,优,0.7,明达新区,44,48,48,41,24,52,鞍山,_
78,良,0.7,金钟山,21,70,64,77,57,29,安顺,细颗粒物(PM2.5)
72,良,0.9,娄家坡,25,65,60,70,52,32,安顺,细颗粒物(PM2.5)
42,优,0.5,棉研所,19,92,67,42,11,21,安阳,_
51,良,0.4,马山宾馆,17,101,80,52,24,8,安庆,颗粒物(PM10)
52,良,0.3,联富花园,23,112,94,54,27,18,安庆,颗粒物(PM10)
36,优,0.9,千山,37,52,47,36,25,29,鞍山,_
44,优,0.7,太阳城,45,50,49,44,22,27,鞍山,_
52,良,2.0,太平,31,54,50,53,32,37,鞍山,颗粒物(PM10)
55,良,0.2,红庙街,15,82,53,60,13,21,安阳,颗粒物(PM10)
43,优,0.6,银杏小区,20,90,76,43,17,30,安阳,_
48,优,1.8,铁佛寺,36,60,56,48,15,47,安阳,_
59,良,0.3,安庆大学,27,107,96,68,34,13,安庆,颗粒物(PM10)
48,优,0.2,洮北区环保局,27,68,64,48,18,12,白城,_
46,优,1.1,铁西三道街,36,38,33,46,29,28,鞍山,_
55,良,0.8,铁西工业园区,30,70,61,60,34,41,鞍山,颗粒物(PM10)
53,良,1.0,信访局,14,84,59,55,12,18,安阳,颗粒物(PM10)
29,优,1.0,市环保局,8,59,59,29,9,11,白城,_
35,优,1.5,市中心血站,8,47,33,34,24,8,百色,_
101,轻度污染,1.1,喜丰,16,67,61,151,31,22,白山,颗粒物(PM10)
77,良,1.4,豫源饭店,37,66,45,94,56,145,白银,细颗粒物(PM2.5)
33,优,0.6,环保局,15,61,60,33,21,17,白山,_
68,良,0.7,游泳馆,12,86,77,86,21,2,保定,颗粒物(PM10)
55,良,0.3,华电二区,26,80,72,59,23,9,保定,颗粒物(PM10)
65,良,0.2,接待中心,5,91,84,80,17,3,保定,颗粒物(PM10)
124,轻度污染,0.4,地表水厂,8,71,63,198,15,1,保定,颗粒物(PM10)
110,轻度污染,0.4,胶片厂,4,94,88,169,11,2,保定,颗粒物(PM10)
56,良,0.6,监测站,16,62,62,61,23,6,保定,颗粒物(PM10)
61,良,0.7,庙沟村,22,98,79,71,36,8,宝鸡,颗粒物(PM10)
63,良,0.5,竹园沟,20,94,65,75,37,15,宝鸡,颗粒物(PM10)
60,良,0.5,市环境监测站,12,69,68,69,16,8,包头,颗粒物(PM10)
26,优,0.4,包百大楼,15,82,79,21,8,7,包头,_
82,良,1.3,东河城环局,14,68,68,114,11,8,包头,颗粒物(PM10)
30,优,0.6,市环保局,5,95,63,10,8,7,保山,_
45,优,0.4,市环境监测站,4,93,65,45,_,6,保山,_
83,良,1.2,三陆医院,62,60,53,115,60,35,宝鸡,颗粒物(PM10)
82,良,1.2,监测站,73,56,53,114,57,31,宝鸡,颗粒物(PM10)
66,良,0.4,青山宾馆,10,81,75,82,9,11,包头,颗粒物(PM10)
38,优,0.9,惠龙物流,17,75,73,38,3,10,包头,_
52,良,0.5,技工学校,20,123,100,54,33,12,宝鸡,颗粒物(PM10)
84,良,1.5,陈仓环保局,42,82,60,116,62,37,宝鸡,细颗粒物(PM2.5)
100,良,1.4,文理学院,63,67,55,150,73,46,宝鸡,颗粒物(PM10)
58,良,0.7,东河鸿龙湾,10,_,61,65,18,8,包头,颗粒物(PM10)
28,优,0.5,秋林养殖基地,13,88,71,22,14,6,巴彦淖尔,_
32,优,0.4,附中,9,83,71,32,6,6,巴彦淖尔,_
32,优,0.2,市环保大楼,6,86,74,32,4,4,巴彦淖尔,_
81,良,1.1,三迪小学,56,81,53,112,54,33,宝鸡,颗粒物(PM10)
53,良,0.6,市环保局,27,77,48,55,35,4,巴中,颗粒物(PM10)
57,良,0.3,巴中中学,23,81,40,63,39,2,巴中,颗粒物(PM10)
75,良,1.5,牛尾岭水库,15,54,55,_,55,8,北海,细颗粒物(PM2.5)
79,良,1.5,海滩公园,19,65,69,_,58,9,北海,细颗粒物(PM2.5)
68,良,1.7,新市环保局,12,74,74,_,49,9,北海,细颗粒物(PM2.5)
56,良,0.5,苏山坪,17,85,63,62,35,6,巴中,颗粒物(PM10)
83,良,1.3,北海工业园,21,56,57,62,61,10,北海,细颗粒物(PM2.5)
53,良,0.6,工人疗养院,18,109,83,55,33,8,蚌埠,颗粒物(PM10)
51,良,0.6,百货大楼,42,58,58,51,31,31,蚌埠,颗粒物(PM10)
57,良,0.6,二水厂,26,77,68,64,37,40,蚌埠,颗粒物(PM10)
61,良,0.2,万寿西宫,6,70,68,72,10,2,北京,颗粒物(PM10)
8,优,0.1,定陵,4,_,_,8,3,2,北京,_
48,优,0.3,东四,7,62,62,48,5,2,北京,_
59,良,0.2,天坛,9,69,66,67,3,2,北京,颗粒物(PM10)
50,优,0.2,农展馆,9,63,63,50,8,4,北京,_
34,优,0.4,职业中学,16,87,40,34,23,5,巴中,_
