AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
28,优,0.2,州农科所,1,89,68,15,2,8,阿坝州,_
32,优,0.8,州监测站,4,102,74,11,4,9,阿坝州,_
36,优,0.3,马师校,2,113,86,11,6,4,阿坝州,_
143,轻度污染,0.8,电视台,30,67,37,235,59,13,阿克苏地区,颗粒物(PM10)
131,轻度污染,0.8,艺术中心,26,68,36,211,53,12,阿克苏地区,颗粒物(PM10)
53,良,0.4,体育场,9,96,92,55,30,10,阿拉善盟,颗粒物(PM10)
54,良,0.7,小东沟,42,34,50,58,7,48,阿勒泰地区,颗粒物(PM10)
25,优,0.7,市站,31,77,72,24,14,13,阿勒泰地区,_
59,良,0.4,环保局新楼,7,81,86,67,20,8,阿拉善盟,颗粒物(PM10)
53,良,0.6,环科院,29,86,81,55,26,11,安庆,颗粒物(PM10)
49,优,0.4,马山宾馆,10,97,86,49,27,8,安庆,_
54,良,0.4,联富花园,24,111,102,57,32,12,安庆,颗粒物(PM10)
78,良,0.3,安庆大学,31,106,105,73,57,12,安庆,细颗粒物(PM2.5)
29,优,0.5,阿里监测站,5,80,60,29,13,3,阿里地区,_
42,优,0.5,香溪洞,16,88,64,35,29,9,安康,_
46,优,1.4,深沟寺,29,56,54,46,28,35,鞍山,_
56,良,1.2,安康市监测站,35,60,44,62,34,14,安康,颗粒物(PM10)
57,良,0.7,汉滨区检察院,30,74,47,63,28,11,安康,颗粒物(PM10)
41,优,0.9,明达新区,34,50,50,41,23,27,鞍山,_
34,优,1.3,千山,33,48,49,34,23,26,鞍山,_
39,优,0.9,太阳城,29,55,53,39,17,12,鞍山,_
49,优,1.7,太平,20,59,55,49,23,22,鞍山,_
39,优,1.1,铁西三道街,27,47,37,39,23,22,鞍山,_
57,良,0.8,铁西工业园区,37,54,66,64,35,31,鞍山,颗粒物(PM10)
42,优,0.5,棉研所,24,86,76,42,11,21,安阳,_
80,良,0.9,伍家关(对照点),26,60,62,80,59,29,安顺,细颗粒物(PM2.5)
53,良,0.2,红庙街,21,76,62,55,14,21,安阳,颗粒物(PM10)
46,优,0.4,银杏小区,20,87,84,46,16,23,安阳,_
52,良,1.0,铁佛寺,31,61,61,54,18,38,安阳,颗粒物(PM10)
45,优,1.0,信访局,17,81,67,45,12,18,安阳,_
100,良,1.0,凤凰山,29,60,62,86,75,43,安顺,细颗粒物(PM2.5)
84,良,0.7,金钟山,21,70,66,85,62,32,安顺,细颗粒物(PM2.5)
85,良,0.9,娄家坡,25,64,62,83,63,35,安顺,细颗粒物(PM2.5)
54,良,0.4,洮北区环保局,27,63,66,57,30,11,白城,颗粒物(PM10)
33,优,1.1,市环保局,11,52,60,33,14,11,白城,_
43,优,1.2,市监测站,19,64,47,42,30,10,百色,_
44,优,1.5,市中心血站,10,44,38,44,25,8,百色,_
90,良,1.0,喜丰,14,66,62,129,24,13,白山,颗粒物(PM10)
32,优,0.5,环保局,11,66,62,32,16,11,白山,_
64,良,0.7,豫源饭店,16,81,54,77,26,14,白银,颗粒物(PM10)
70,良,1.0,动力公司,19,73,55,81,51,77,白银,细颗粒物(PM2.5)
70,良,0.9,庙沟村,36,82,82,74,51,12,宝鸡,细颗粒物(PM2.5)
39,优,0.7,游泳馆,13,83,83,39,18,1,保定,_
53,良,0.2,华电二区,29,76,76,55,19,9,保定,颗粒物(PM10)
60,良,0.5,竹园沟,21,84,72,70,43,12,宝鸡,"
                      颗粒物(PM10)
                      

                  "
90,良,1.1,三陆医院,70,49,56,130,65,34,宝鸡,颗粒物(PM10)
86,良,1.1,监测站,82,48,58,122,63,26,宝鸡,颗粒物(PM10)
60,良,0.2,接待中心,7,87,87,70,15,4,保定,颗粒物(PM10)
71,良,0.3,地表水厂,8,69,68,91,13,3,保定,颗粒物(PM10)
58,良,0.4,胶片厂,3,93,94,66,16,1,保定,颗粒物(PM10)
54,良,0.3,监测站,18,62,68,58,20,6,保定,颗粒物(PM10)
30,优,0.6,市环保局,5,95,68,20,4,7,保山,_
30,优,0.5,市环境监测站,3,93,72,24,2,6,保山,_
67,良,0.8,技工学校,51,85,102,62,48,20,宝鸡,细颗粒物(PM2.5)
95,良,1.5,陈仓环保局,49,80,67,136,71,35,宝鸡,细颗粒物(PM2.5)
90,良,1.2,文理学院,57,73,62,130,64,31,宝鸡,颗粒物(PM10)
89,良,1.3,三迪小学,80,57,59,127,62,36,宝鸡,颗粒物(PM10)
65,良,0.5,市环境监测站,13,69,69,79,9,8,包头,颗粒物(PM10)
37,优,0.5,包百大楼,16,83,80,37,8,7,包头,_
59,良,1.4,东河城环局,16,67,69,67,14,8,包头,颗粒物(PM10)
73,良,0.5,青山宾馆,12,78,77,96,10,12,包头,颗粒物(PM10)
37,优,1.0,惠龙物流,19,72,74,37,9,11,包头,_
53,良,0.8,东河鸿龙湾,11,_,62,56,14,9,包头,颗粒物(PM10)
55,良,0.6,市环保局,31,77,56,60,38,4,巴中,颗粒物(PM10)
59,良,0.2,巴中中学,23,86,50,65,42,2,巴中,细颗粒物(PM2.5)
27,优,0.5,秋林养殖基地,16,85,78,26,10,9,巴彦淖尔,_
30,优,0.4,附中,13,76,74,30,5,8,巴彦淖尔,_
40,优,0.2,市环保大楼,8,84,79,40,9,5,巴彦淖尔,_
59,良,0.5,苏山坪,18,86,67,67,37,7,巴中,颗粒物(PM10)
40,优,0.4,职业中学,20,81,50,40,25,5,巴中,_
53,良,0.2,万寿西宫,8,66,70,55,3,2,北京,颗粒物(PM10)
75,良,1.5,牛尾岭水库,15,54,55,_,55,8,北海,细颗粒物(PM2.5)
79,良,1.5,海滩公园,21,63,68,63,58,10,北海,细颗粒物(PM2.5)
77,良,1.7,新市环保局,14,73,74,_,56,9,北海,细颗粒物(PM2.5)
24,优,0.2,定陵,4,76,76,6,3,2,北京,_
41,优,0.3,东四,9,60,63,41,6,2,北京,_
72,良,0.2,天坛,10,66,69,94,6,2,北京,颗粒物(PM10)
84,良,1.3,北海工业园,22,56,57,70,62,10,北海,细颗粒物(PM2.5)
49,优,0.2,农展馆,11,60,64,49,3,3,北京,_
45,优,0.6,工人疗养院,23,107,90,40,31,14,蚌埠,_
52,良,0.7,百货大楼,68,36,58,50,36,42,蚌埠,细颗粒物(PM2.5)
49,优,0.6,二水厂,35,65,72,49,33,61,蚌埠,_
53,良,0.2,官园,10,65,71,55,3,2,北京,颗粒物(PM10)
28,优,0.4,海淀区万柳,4,76,80,28,7,3,北京,_
25,优,0.4,顺义新城,4,_,_,25,7,3,北京,_
27,优,0.2,怀柔镇,3,64,66,27,6,2,北京,_
23,优,0.4,昌平镇,8,61,64,23,7,3,北京,_
43,优,0.2,奥体中心,6,62,64,43,4,2,北京,_
53,良,0.3,古城,9,69,71,55,10,2,北京,颗粒物(PM10)
40,优,0.5,蚌埠学院,26,111,90,40,14,9,蚌埠,_
54,良,0.5,淮上区政府,29,79,74,58,25,19,蚌埠,颗粒物(PM10)
45,优,0.6,高新区,34,95,83,45,17,9,蚌埠,_
32,优,1.0,大峪,34,53,59,32,22,43,本溪,_
52,良,0.9,彩屯,38,44,64,40,36,22,本溪,细颗粒物(PM2.5)
40,优,0.8,东明,31,48,45,40,26,26,本溪,_
72,良,1.2,八中,29,60,61,80,52,13,毕节,细颗粒物(PM2.5)
62,良,1.0,师专,24,67,66,70,44,13,毕节,细颗粒物(PM2.5)
36,优,0.4,威宁,22,50,58,36,14,16,本溪,_
80,良,0.8,市环保局,21,60,51,109,23,4,滨州,颗粒物(PM10)
77,良,0.5,第二水厂,21,62,53,103,14,12,滨州,颗粒物(PM10)
74,良,0.3,北中新校,14,56,48,98,_,5,滨州,颗粒物(PM10)
39,优,0.9,新立屯,61,11,40,35,27,30,本溪,_
55,良,0.4,污水处理厂,29,81,81,56,39,16,亳州,细颗粒物(PM2.5)
90,良,1.4,博乐市西郊区,21,42,33,129,60,60,博州,颗粒物(PM10)
114,轻度污染,1.2,市环保局,29,36,20,139,86,64,博州,细颗粒物(PM2.5)
44,优,0.4,三国揽胜宫,27,87,84,44,23,16,亳州,_
85,良,0.5,沧县城建局,13,69,60,119,24,13,沧州,颗粒物(PM10)
88,良,0.2,电视转播站,9,70,62,126,32,20,沧州,颗粒物(PM10)
76,良,0.3,市环保局,10,75,66,101,26,17,沧州,颗粒物(PM10)
39,优,0.7,食品厂,36,41,47,36,27,7,长春,_
42,优,0.7,客车厂,30,37,55,29,29,20,长春,_
70,良,1.0,邮电学院,53,32,40,58,51,123,长春,细颗粒物(PM2.5)
33,优,0.7,劳动公园,41,38,51,31,23,31,长春,_
39,优,1.0,市二中,12,97,66,29,27,3,常德,_
35,优,0.6,园林处,49,24,44,33,24,44,长春,_
51,良,0.8,白鹤山,15,74,75,52,32,6,常德,颗粒物(PM10)
32,优,1.0,武陵区永安(启用171130),24,85,58,31,22,7,常德,_
36,优,1.0,鼎城区玉霞(启用171130),21,91,60,34,25,5,常德,_
38,优,0.8,武陵区长庚,15,88,63,36,26,10,常德,_
28,优,0.7,昌都监测站,12,86,79,28,17,6,昌都,_
24,优,1.4,昌都地区昌都坝,13,75,65,15,6,2,昌都,_
25,优,0.2,净月潭,23,59,64,22,17,14,长春,_
48,优,0.7,甩湾子,17,62,65,_,33,11,长春,_
48,优,0.6,经开区环卫处,57,28,44,41,33,76,长春,_
35,优,0.4,高新区管委会,22,57,62,32,24,5,长春,_
35,优,1.0,岱山公园,37,43,59,31,24,6,长春,_
